Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
Olsen,Master Artur Karl,9,Southampton,S
Olsen,Mr Henry Margido,28,Southampton,†
Olsen,Mr Ole Martin,27,Southampton,†
Olsson,Mr Oscar Wilhelm,32,Southampton,S
Olsson,Mr Nils Johan Göransson,28,Southampton,†
Olsson,Miss Elina,31,Southampton,†
Olsvigen,Mr Thor Anderson,20,Southampton,†
Oreskovic,Mr Luka,20,Southampton,†
Oreskovic,Miss Jelka,23,Southampton,†
Oreskovic,Miss Marija,20,Southampton,†
Osén,Mr Olaf Elon,16,Southampton,†
Panula,Mrs Maija Emelia Abrahamintytar,41,Southampton,†
Panula,Master Jaako Arnold,14,Southampton,†
Panula,Mr Ernesti Arvid,16,Southampton,†
Panula,Master Juha Niilo,7,Southampton,†
Panula,Master Urho Abraham,2,Southampton,†
Panula,Master Eino Viljam,1,Southampton,†
Pasic,Mr Jakob,21,Southampton,†
Patchett,Mr George,19,Southampton,†
Pavlovic,Mr Stefo,32,Southampton,†
Pålsson,Mrs Alma Cornelia,29,Southampton,†
Pålsson,Master Gösta Leonard,2,Southampton,†
Pålsson,Master Paul Folke,6,Southampton,†
Pålsson,Miss Stina Viola,3,Southampton,†
Pålsson,Miss Torborg Danira,8,Southampton,†
Peacock,Mrs Edith,26,Southampton,†
Peacock,Master Albert Edward,7m,Southampton,†
Peacock,Miss Treasteall,3,Southampton,†
Pearce,Mr Ernest,32,Southampton,†
Pedersen,Mr Olaf,28,Southampton,†
Peduzzi,Mr Giuseppe,24,Southampton,†
Pekoniemi,Mr Edvard,21,Southampton,†
Peltomäki,Mr Nikolai Johannes,25,Southampton,†
Perkin,Mr John Henry,22,Southampton,†
Persson,Mr Ernst Ulrik,25,Southampton,S
Peter/Joseph,Master Michael J.,4,Cherbourg,S
Peter/Joseph,Miss Anna,2,Cherbourg,S
Peteranec,Miss Mathilda,28,Southampton,†
Peters,Miss Catherine,26,Queenstown,†
Petersen,Mr Marius,24,Southampton,†
Petroff,Mr Nedialco,19,Southampton,†
Petroff,Mr Pastcho,29,Southampton,†
Pettersson,Mr Johan Emil,25,Southampton,†
Pettersson,Miss Elin Natalia,18,Southampton,†
Picard,Mr Benoît,32,Southampton,S
Plotcharsky,Mr Vasil,27,Southampton,†
Pokrnic,Mr Mate,17,Southampton,†
Pokrnic,Mr Tome,24,Southampton,†
Pulner,Mr Uscher,16,Cherbourg,†
Radeff,Mr Alexander,27,Southampton,†
Rafūl-Būlus,Mr Bākhūs,20,Cherbourg,†
Rasmussen,Mrs Lena Jakobsen,63,Southampton,†
Razi,Mr Raihed,30,Cherbourg,†
Reed,Mr James George,19,Southampton,†
Rekic,Mr Tido,38,Southampton,†
Reynolds,Mr Harold,21,Southampton,†
Rice,Mrs Margaret,39,Queenstown,†
Rice,Master Albert,10,Queenstown,†
Rice,Master George Hugh,8,Queenstown,†
Rice,Master Eric,7,Queenstown,†
Rice,Master Arthur,4,Queenstown,†
Rice,Master Eugene Francis,2,Queenstown,†
Riihivuori,Miss Susanna Juhantytär,22,Southampton,†
Rintamäki,Mr Matti,35,Southampton,†
Riordan,Miss Hannah,18,Queenstown,S
Risien,Mr Samuel Beard,69,Southampton,†
Risien,Mrs Emma Jane,58,Southampton,†
Robins,Mr Alexander A.,50,Southampton,†
Robins,Mrs Charity,47,Southampton,†
Rogers,Mr William John,29,Southampton,†
Rommetvedt,Mr Knud Paust,49,Southampton,†
Rosblom,Mrs Helena Wilhelmina,41,Southampton,†
Rosblom,Miss Salli Helena,2,Southampton,†
Rosblom,Mr Viktor Richard,18,Southampton,†
Roth,Miss Sarah,31,Southampton,S
Rouse,Mr Richard Henry,53,Southampton,†
Rush,Mr Alfred George John,17,Southampton,†
Ryan,Mr Patrick,30,Queenstown,†
Ryan,Mr Edward,24,Queenstown,S
Saad,Mr Amin,30,Cherbourg,†
Saad,Mr Khalil,27,Cherbourg,†
Sadlier,Mr Matthew,18,Queenstown,†
Sadowitz,Mr Henry,17,Southampton,†
Sage,Mr John George,44,Southampton,†
Sage,Mrs Annie Elizabeth,44,Southampton,†
Sage,Miss Stella Anne,20,Southampton,†
Sage,Mr George John,19,Southampton,†
Sage,Mr Douglas Bullen,18,Southampton,†
Sage,Mr Frederick,16,Southampton,†
Sage,Miss Dorothy,14,Southampton,†
Sage,Master Anthony William,12,Southampton,†
Sage,Miss Elizabeth Ada,10,Southampton,†
Sage,Miss Constance Gladys,7,Southampton,†
Sage,Master Thomas Henry,4,Southampton,†
Salander,Mr Karl Johan,24,Southampton,†
Salkjelsvik,Miss Anna Kristine,21,Southampton,S
Salonen,Mr Johan Werner,29,Southampton,†
Samaan,Mr Hanna Elias,40,Cherbourg,†
Samaan,Mr Elias,17,Cherbourg,†
Samaan,Mr Youssef,16,Cherbourg,†
Sandström,Mrs Agnes Charlotta,24,Southampton,S
Sandström,Miss Beatrice Irene,1,Southampton,S
Sandström,Miss Marguerite Rut,4,Southampton,S
Sap,Mr Julius,21,Southampton,S
Saundercock,Mr William Henry,19,Southampton,†
Sawyer,Mr Frederick Charles,33,Southampton,†
Sæther,Mr Simon Sivertsen,43,Southampton,†
Søholt,Mr Peter Andreas Lauritz Andersen,19,Southampton,†
Scanlan,Mr James,22,Queenstown,†
Scheerlinck,Mr Jean,29,Southampton,S
Sdycoff,Mr Todor,42,Southampton,†
Seman,Master Betros,10,Cherbourg,†
Shannon,Mr Andrew John,36,Southampton,†
Shaughnessy,Mr Patrick,24,Queenstown,†
Shedid,Mr Daher,19,Cherbourg,†
Shellard,Mr Frederick William Blainey,55,Southampton,†
Shihāb,Mr Al-Am īr Fāris,29,Cherbourg,†
Shine,Miss Ellen,20,Queenstown,†
Shorney,Mr Charles Joseph,22,Southampton,†
Simmons,Mr John,40,Southampton,†
Sirayanian,Mr Orsen,22,Cherbourg,†
Sirota,Mr Morris,20,Southampton,†
Sivic,Mr Husein,40,Southampton,†
Sivola,Mr Antti Wilhelm,21,Southampton,†
Sjöblom,Miss Anna Sofia,18,Southampton,S
Skoog,Mr Wilhelm Johansson,40,Southampton,†
Skoog,Mrs Anna Bernhardina,43,Southampton,†
Skoog,Master Karl Thorsten,11,Southampton,†
Skoog,Master Harald,5,Southampton,†
Skoog,Miss Mabel,9,Southampton,†
Skoog,Miss Margit Elizabeth,2,Southampton,†
Slabenoff,Mr Petco,42,Southampton,†
Slocovski,Mr Selman Francis,20,Southampton,†
Smiljanic,Mr Mile,37,Southampton,†
Smyth,Mr Thomas,26,Queenstown,†
Smyth,Miss Julia,17,Queenstown,S
Somerton,Mr Francis William,30,Southampton,†
Spector,Mr Woolf,23,Southampton,†
Spinner,Mr Henry John,32,Southampton,†
Staneff,Mr Ivan,23,Southampton,†
Stankovic,Mr Ivan,33,Cherbourg,†
Stanley,Miss Amy Zillah Elsie,24,Southampton,S
Stanley,Mr Edward Roland,21,Southampton,†
Storey,Mr Thomas,51,Southampton,†
Stoytcheff,Mr Ilia,19,Southampton,†
Strandén,Mr Juho Niilosson,31,Southampton,S
Strandberg,Miss Ida Sofia,22,Southampton,†
Ström,Mrs Elna Matilda,29,Southampton,†
Ström,Miss Telma Matilda,2,Southampton,†
Strilic,Mr Ivan,27,Southampton,†
Sunderland,Mr Victor Francis,20,Southampton,S
Sundman,Mr Johan Julian,44,Southampton,S
Sutehall,Mr Henry Jr,25,Southampton,†
Svensson,Mr Olof,24,Southampton,†
Svensson,Mr Johan,74,Southampton,†
Svensson,Mr Johan Cervin,14,Southampton,S
Tannūs,Mr Bash īr,31,Cherbourg,†
Tannūs,Mrs Tham īn,16,Cherbourg,S
Tannūs,Master As’ad,5m,Cherbourg,S
Törber,Mr Ernst Wilhelm,41,Southampton,†
Törnquist,Mr William Henry,25,Southampton,S
Tenglin,Mr Gunnar Isidor,25,Southampton,S
Theobald,Mr Thomas Leonard,34,Southampton,†
Thomas/Tannous,Mr Tannous,16,Cherbourg,†
Thomas/Tannous,Mr John,34,Cherbourg,†
Thompson,Mr Alexander Morrison,36,Southampton,†
Thorneycroft,Mr Percival,36,Southampton,†
Thorneycroft,Mrs Florence Kate,32,Southampton,S
Tikkanen,Mr Juho,32,Southampton,†
Tobin,Mr Roger,20,Queenstown,†
Todoroff,Mr Lalio,23,Southampton,†
Tomlin,Mr Ernest Portage,22,Southampton,†
Torfa,Mr Assad,20,Cherbourg,†
Totevski,Mr Hristo Danchev,25,Southampton,†
Tu’Mah,Mrs Hinnah,27,Cherbourg,S
Tu’Mah,Miss Mariyam,9,Cherbourg,S
Tu’Mah,Master Jirjis Yūsuf,8,Cherbourg,S
Turcin,Mr Stjepan,36,Southampton,†
Turja,Miss Anna Sofia,18,Southampton,S
Turkula,Mrs Hedwig,63,Southampton,S
Van Billiard,Mr Austin Blyler,35,Southampton,†
Van Billiard,Master James William,10,Southampton,†
Van Billiard,Master Walter John,9,Southampton,†
Van De Velde,Mr Johannes Josef,35,Southampton,†
Van Den Steen,Mr Leo Peter,28,Southampton,†
Van Impe,Mr Jean Baptiste,36,Southampton,†
Van Impe,Mrs Rosalie Paula,30,Southampton,†
Van Impe,Miss Catharina,10,Southampton,†
Van Melckebeke,Mr Philemon,23,Southampton,†
Vandercruyssen,Mr Victor,46,Southampton,†
Vanderplancke,Mr Julius,31,Southampton,†
Vanderplancke,Mrs Emelie Maria,31,Southampton,†
Vanderplancke,Miss Augusta Maria,18,Southampton,†
Vanderplancke,Mr Leo Edmondus,15,Southampton,†
Vandewalle,Mr Nestor Cyriel,28,Southampton,†
Vartanian,Mr David,22,Cherbourg,†
Vendel,Mr Olof Edvin,20,Southampton,†
Veström,Miss Hulda Amanda Adolfina,14,Southampton,†
Vovk,Mr Janko,21,Southampton,†
Waelens,Mr Achille,22,Southampton,†
Ware,Mr Frederick,34,Southampton,†
Warren,Mr Charles William,30,Southampton,†
Wazli,Mr Yousif Ahmed,23,Cherbourg,†
Webber,Mr James,66,Southampton,†
Wennerström,Mr August,27,Southampton,S
Widegren,Mr Carl Peter,51,Southampton,†
Wiklund,Mr Karl Johan,21,Southampton,†
Wiklund,Mr Jakob Alfred,18,Southampton,†
Wilkes,Mrs Ellen,47,Southampton,S
Willer,Mr Aaron,37,Cherbourg,†
Willey,Mr Edward John,18,Southampton,†
Williams,Mr Howard Hugh,28,Southampton,†
Williams,Mr Leslie,28,Southampton,†
Windeløv,Mr Einar,21,Southampton,†
Wirz,Mr Albert,27,Southampton,†
Wiseman,Mr Philippe,54,Southampton,†
Wittevrongel,Mr Camilius Aloysius,36,Southampton,†
Yasbeck,Mr Antoni,27,Cherbourg,S
Yazbeck,Mrs Selini,15,Cherbourg,†
Yūsuf,Mrs Kātr īn,24,Cherbourg,S
Yousseff (Abi Saab),Mr Gerios,26,Cherbourg,†
Youssiff (Sam’Aan),Mr Gerios,45,Cherbourg,†
Zakarian,Mr Ortin,27,Cherbourg,†
Zakarian,Mr Mapriededer,22,Cherbourg,†
Zenni,Mr Philip,22,Cherbourg,S
Zimmermann,Mr Leo,29,Southampton,†
